System check identified no issues (0 silenced).
March 29, 2017 - 13:55:06
Django version 1.9.7, using settings 'sistema_contabil.settings'
Starting development server at http://localhost:8000/
Quit the server with CTRL-BREAK.
[29/Mar/2017 13:55:09] "GET / HTTP/1.1" 200 16000
[29/Mar/2017 13:55:34] "GET /entidade/adicionar HTTP/1.1" 301 0
[29/Mar/2017 13:55:34] "GET /entidade/adicionar/ HTTP/1.1" 200 283586
[29/Mar/2017 13:55:34] "GET /arquivos_estaticos/scripts/protocolo/protocolo.js HTTP/1.1" 304 0
[29/Mar/2017 13:55:34] "GET /arquivos_estaticos/scripts/entidade/validar_cpf_cnpj.js HTTP/1.1" 304 0
[29/Mar/2017 13:55:36] "GET /arquivos_estaticos/scripts/padrao/controle_componentes.js HTTP/1.1" 200 3180
[29/Mar/2017 14:01:06] "GET /entidade/adicionar HTTP/1.1" 301 0
[29/Mar/2017 14:01:06] "GET /entidade/adicionar/ HTTP/1.1" 200 283586
[29/Mar/2017 14:04:37] "GET /entidade/cadastro HTTP/1.1" 301 0
olha os dados:  [<entidade: PEDIATRIA MARTINENSE LTDA - EPP>, <entidade: HELCIO APARECIDO ITHO>, <entidade: CLINICA GASTRO LTDA EPP>, <entidade: CLINICA GASTRO LTDA EPP>, <entidade: CLINICA GASTRO LTDA EPP>, <entidade: VIX PARTNERS CONSULTORIA E PARTICIPACOES LTDA>, <entidade: VILA VELHA LASER LTDA ME>, <entidade: VIEIRA & PASCOAL ADVOGADOS ASSOCIADOS>, <entidade: SOCIEDADE BRASILEIRA DE CARDIOLOGIA ES>, <entidade: REUMA CENTRO DE REUMATOLOGIA AVANCADA LTDA EPP>, <entidade: REUMA CLINICA DE REUMATOLOGIA SS LTDA>, <entidade: MEDRITMO LTDA>, <entidade: INSTITUTO NEURODIAGNOSTICO VITORIA LTDA EPP>, <entidade: LUIS HENRIQUE CASAGRANDE ME>, <entidade: INFECTO & INFECTO S/S LTDA>, <entidade: GUSTAVO MACHADO JANTORNO ME>, <entidade: GERALDA CONCEICAO PASCOAL ME>, <entidade: GAYA ESPECIALIDADES EM SAUDE LTDA>, <entidade: GAYA ESPECIALIDADES EM SAUDE LTDA>, <entidade: GAL GRUPO DE ANESTESIOLOGIA LTDA EPP>, '...(remaining elements truncated)...']
[29/Mar/2017 14:04:38] "GET /entidade/cadastro/ HTTP/1.1" 200 86543
[29/Mar/2017 14:04:38] "GET /arquivos_estaticos/datatable/datatables-plugins/integration/bootstrap/3/dataTables.bootstrap.min.js HTTP/1.1" 404 1877
[29/Mar/2017 14:04:38] "GET /arquivos_estaticos/datatable/datatables/media/js/jquery.dataTables.min.js HTTP/1.1" 404 1799
